Cond,Soil,Temp,Soil,Prerinse,Step,
41707.0,0.4007523148148148,???,???,???,???,???,E3/10,C3/30,G3*100,
41707.0,0.5496412037037037,0.0,0.98,1.0,66.9,0.0,E204/10,C204/30,G204*100,
41707.0,0.5503819444444444,0.0,1.04,1.0,65.4,0.0,E205/10,C205/30,G205*100,
41707.0,0.5511226851851853,0.0,1.04,2.0,62.2,0.0,E206/10,C206/30,G206*100,
41707.0,0.551863425925926,0.0,0.96,2.0,61.9,0.0,E207/10,C207/30,G207*100,
41707.0,0.5526041666666667,0.0,0.83,1.0,61.5,0.0,E208/10,C208/30,G208*100,
41707.0,0.5533449074074074,0.0,0.64,1.0,60.4,0.0,E209/10,C209/30,G209*100,
41707.0,0.5540856481481481,0.0,0.42,1.0,57.8,0.0,E210/10,C210/30,G210*100,
41707.0,0.5548263888888889,0.0,0.27,1.0,57.4,0.0,E211/10,C211/30,G211*100,
41707.0,0.5555671296296296,0.0,0.17,1.0,55.6,0.0,E212/10,C212/30,G212*100,
41707.0,0.5563078703703704,0.0,0.11,0.0,54.7,0.0,E213/10,C213/30,G213*100,
41707.0,0.5570486111111111,0.0,0.07,0.0,54.0,0.0,E214/10,C214/30,G214*100,
41707.0,0.5577893518518519,0.0,0.02,0.0,49.7,0.0,E215/10,C215/30,G215*100,
41707.0,0.5585300925925926,0.0,0.05,0.0,61.0,0.0,E216/10,C216/30,G216*100,
41707.0,0.5592708333333333,0.0,0.0,4.0,48.1,0.0,E217/10,C217/30,G217*100,
41707.0,0.5600115740740741,0.0,0.0,0.0,52.6,0.0,E218/10,C218/30,G218*100,
41707.0,0.5607523148148148,0.0,0.0,0.0,55.1,0.0,E219/10,C219/30,G219*100,
41707.0,0.5614930555555556,0.0,0.0,0.0,49.3,0.0,E220/10,C220/30,G220*100,
41707.0,0.5622337962962963,0.0,0.0,0.0,45.7,0.0,E221/10,C221/30,G221*100,
41707.0,0.562974537037037,0.0,0.0,0.0,42.1,0.0,E222/10,C222/30,G222*100,
41707.0,0.5637152777777777,0.0,0.0,1.0,37.4,0.0,E223/10,C223/30,G223*100,
41707.0,0.5644560185185185,0.0,0.0,0.0,34.7,0.0,E224/10,C224/30,G224*100,
41707.0,0.5651967592592593,0.0,0.0,0.0,32.5,0.0,E225/10,C225/30,G225*100,
41707.0,0.5659375,0.0,0.0,0.0,31.1,0.0,E226/10,C226/30,G226*100,
41707.0,0.5666782407407408,0.0,0.0,0.0,29.5,0.0,E227/10,C227/30,G227*100,
41707.0,0.5674189814814815,0.0,0.0,0.0,28.6,0.0,E228/10,C228/30,G228*100,
41707.0,0.5681597222222222,0.0,0.0,0.0,27.9,0.0,E229/10,C229/30,G229*100,
41707.0,0.5689004629629629,0.0,0.0,0.0,27.4,0.0,E230/10,C230/30,G230*100,
41707.0,0.5696412037037036,0.0,0.0,0.0,26.7,0.0,E231/10,C231/30,G231*100,
41707.0,0.5703819444444445,0.0,0.0,0.0,25.9,0.0,E232/10,C232/30,G232*100,
41707.0,0.5711226851851852,0.0,0.0,0.0,25.3,0.0,E233/10,C233/30,G233*100,
41707.0,0.571863425925926,0.0,0.0,0.0,24.8,0.0,E234/10,C234/30,G234*100,
41707.0,0.5726041666666667,0.0,0.0,0.0,24.0,0.0,E235/10,C235/30,G235*100,
41707.0,0.5733449074074074,0.0,0.0,0.0,23.6,0.0,E236/10,C236/30,G236*100,
41707.0,0.5740856481481481,0.0,0.0,0.0,22.9,0.0,E237/10,C237/30,G237*100,
41707.0,0.5748263888888888,0.0,0.0,0.0,22.2,0.0,E238/10,C238/30,G238*100,
41707.0,0.5755671296296296,0.0,0.0,0.0,21.4,0.0,E239/10,C239/30,G239*100,
41707.0,0.5763078703703703,0.0,0.0,0.0,20.5,0.0,E240/10,C240/30,G240*100,
41707.0,0.5770486111111112,0.0,0.0,0.0,19.6,0.0,E241/10,C241/30,G241*100,
